Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdb            1073.00         0.00       214.58          0        214
sdc            1073.00         0.00       214.58          0        214
sdd            1073.00         0.00       214.58          0        214
sdf            1073.00         0.00       214.58          0        214
sde            1072.00         0.00       214.58          0        214
sdg            1071.00         0.00       214.58          0        214
sdj               0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
dm-0          327602.00         0.00      1279.69          0       1279

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.87    0.00   43.11    0.00    0.00   53.03

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdb            1084.00         0.00       219.20          0        219
sdc            1085.00         0.00       218.93          0        218
sdd            1087.00         0.00       218.93          0        218
sdf            1083.00         0.00       218.93          0        218
sde            1084.00         0.00       218.93          0        218
sdg            1084.00         0.00       218.93          0        218
sdj               0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
dm-0          333002.00         0.00      1300.78          0       1300

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.87    0.00   43.10    0.00    0.00   53.03

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdb            1110.00         0.00       218.42          0        218
sdc            1110.00         0.00       218.69          0        218
sdd            1113.00         0.00       218.69          0        218
sdf            1111.00         0.00       218.68          0        218
sde            1113.00         0.00       218.69          0        218
sdg            1111.00         0.00       218.51          0        218
sdj               0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
dm-0          332454.00         0.00      1298.65          0       1298

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.86    0.00   42.91    0.08    0.00   53.15

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sda               2.00         0.00         0.04          0          0
sda1              2.00         0.00         0.04          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdb            1101.00         0.00       218.66          0        218
sdc            1100.00         0.00       218.66          0        218
sdd            1102.00         0.00       218.66          0        218
sdf            1100.00         0.00       218.66          0        218
sde            1102.00         0.00       218.66          0        218
sdg            1100.00         0.00       218.84          0        218
sdj               0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
