Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdc            1515.00         4.02       153.00          4        153
sdd            1507.00         3.96       153.00          3        153
sde            1500.00         3.88       153.00          3        153
sdf            1545.00         4.02       153.00          4        153
sdg            1505.00         3.92       153.18          3        153
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
sdj               0.00         0.00         0.00          0          0
sdb            1502.00         3.93       153.25          3        153
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
dm-0          199459.00         0.00       779.12          0        779

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.20    0.00   39.73    0.17    0.00   53.90

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdc            8443.00        35.37       148.00         35        148
sdd            8409.00        35.56       148.00         35        148
sde            8403.00        35.41       148.00         35        148
sdf            8462.00        35.78       148.00         35        148
sdg            8480.00        36.02       148.00         36        148
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
sdj               0.00         0.00         0.00          0          0
sdb            8417.00        35.64       147.75         35        147
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
dm-0          170833.00         0.00       667.34          0        667

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           7.38    0.00   40.07    0.08    0.00   52.47

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdc            1578.00         3.95       166.00          3        166
sdd            1582.00         4.02       166.00          4        166
sde            1585.00         4.01       166.00          4        166
sdf            1619.00         4.18       166.00          4        166
sdg            1559.00         3.80       166.00          3        166
sda               2.00         0.00         0.04          0          0
sda1              2.00         0.00         0.04          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
sdj               0.00         0.00         0.00          0          0
sdb            1546.00         3.86       166.55          3        166
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
dm-0          251316.00         0.00       981.70          0        981

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.55    0.00   40.00    0.00    0.00   53.45

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdc            7487.00        31.30       138.00         31        138
sdd            7632.00        32.09       138.00         32        138
sde            7412.00        31.26       138.00         31        138
sdf            7550.00        32.05       138.00         32        138
sdg            7487.00        31.53       138.00         31        138
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
sdj               0.00         0.00         0.00          0          0
sdb            7550.00        31.76       137.45         31        137
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
dm-0          157046.00         0.00       613.46          0        613

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           7.12    0.00   39.90    0.34    0.00   52.64

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdc            6100.00        24.83       153.00         24        153
sdd            6166.00        24.93       153.00         24        153
sde            6012.00        24.29       152.82         24        152
sdf            6063.00        24.49       152.82         24        152
sdg            6167.00        24.97       152.82         24        152
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
sdj               0.00         0.00         0.00          0          0
sdb            6133.00        24.91       153.00         24        153
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
nvme2n1           0.00         0.00         0.00          0          0
nvme3n1           0.00         0.00         0.00          0          0
md0               0.00         0.00         0.00          0          0
dm-0          217258.00         0.00       848.63          0        848

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.80    0.00   38.62    0.17    0.00   54.41

Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdc            2970.00        10.76       151.27         10        151
sdd            2996.00        10.77       151.27         10        151
sde            3017.00        11.06       151.45         11        151
sdf            2981.00        10.70       151.45         10        151
sdg            3046.00        10.97       151.45         10        151
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
sdi               0.00         0.00         0.00          0          0
sdj               0.00         0.00         0.00          0          0
sdb            2973.00        10.74       151.27         10        151
nvme0n1           0.00         0.00         0.00          0          0
nvme1n1           0.00         0.00         0.00          0          0
